LocationType,Location,TimeFrame,DataFormat,Data
State,Alaska,2002,"Rate per 1,000",5.5
State,Alaska,2003,"Rate per 1,000",7
State,Alaska,2003,Number,71
State,Alaska,2004,Number,69
State,Alaska,2005,"Rate per 1,000",5.9
State,Alaska,2005,Number,62
State,Alaska,2004,"Rate per 1,000",6.7
State,Alaska,2006,Number,76
State,Alaska,2006,"Rate per 1,000",6.9
State,Alaska,2007,"Rate per 1,000",6.5
State,Alaska,2008,Number,67
State,Alaska,2007,Number,72
State,Alaska,2008,"Rate per 1,000",5.9
State,Alaska,2013,"Rate per 1,000",5.6
State,Alaska,2018,Number,60
State,Alaska,2013,Number,64
State,Alaska,2018,"Rate per 1,000",5.9
State,Alaska,2009,"Rate per 1,000",6.8
State,Alaska,2009,Number,77
State,Alaska,2010,Number,43
State,Alaska,2010,"Rate per 1,000",3.7
State,Alaska,2015,"Rate per 1,000",6.9
State,Alaska,2015,Number,78
State,Alaska,2011,Number,43
State,Alaska,2012,"Rate per 1,000",5.2
State,Alaska,2011,"Rate per 1,000",3.8
State,Alaska,2012,Number,58
State,Alaska,2014,Number,75
State,Alaska,2016,"Rate per 1,000",5.4
State,Alaska,2014,"Rate per 1,000",6.6
State,Alaska,2017,Number,59
State,Alaska,2016,Number,60
State,Alaska,2017,"Rate per 1,000",5.6
State,Arizona,2017,"Rate per 1,000",5.7
State,Arizona,2017,Number,469
State,Arizona,2016,Number,456
State,Arizona,2014,"Rate per 1,000",6.1
State,Arizona,2016,"Rate per 1,000",5.4
State,Arizona,2012,Number,504
State,Arizona,2014,Number,534
State,Arizona,2011,"Rate per 1,000",5.9
State,Arizona,2011,Number,507
State,Arizona,2015,Number,469
State,Arizona,2012,"Rate per 1,000",5.8
State,Arizona,2010,"Rate per 1,000",6
State,Arizona,2015,"Rate per 1,000",5.5
State,Arizona,2010,Number,522
State,Arizona,2009,Number,556
State,Arizona,2018,"Rate per 1,000",5.6
State,Arizona,2009,"Rate per 1,000",6
State,Arizona,2013,Number,451
State,Arizona,2018,Number,451
State,Arizona,2008,"Rate per 1,000",6.4
State,Arizona,2007,Number,711
State,Arizona,2013,"Rate per 1,000",5.3
State,Arizona,2008,Number,635
State,Arizona,2007,"Rate per 1,000",6.9
State,Arizona,2006,"Rate per 1,000",6.4
State,Arizona,2006,Number,651
State,Arizona,2004,"Rate per 1,000",6.7
State,Arizona,2005,Number,662
State,Arizona,2005,"Rate per 1,000",6.9
State,Arizona,2004,Number,630
State,Arizona,2003,Number,593
State,Arizona,2003,"Rate per 1,000",6.5
State,Arizona,2002,"Rate per 1,000",6.4
State,Arizona,2001,Number,592
State,Arizona,2002,Number,559
State,Arizona,2001,"Rate per 1,000",6.9
State,Arizona,2000,"Rate per 1,000",6.7
State,Arizona,2000,Number,573
State,Arizona,1999,Number,548
State,Arizona,1998,"Rate per 1,000",7.5
State,Arizona,1999,"Rate per 1,000",6.8
State,Arizona,1998,Number,590
State,Arizona,1997,Number,536
State,Arizona,1997,"Rate per 1,000",7.1
State,Arizona,1996,"Rate per 1,000",7.6
State,Arizona,1995,Number,547
State,Arizona,1996,Number,575
State,Arizona,1994,"Rate per 1,000",7.8
State,Arizona,1995,"Rate per 1,000",7.5
State,Arizona,1994,Number,554
State,Arizona,1993,Number,525
State,Arizona,1992,"Rate per 1,000",8.4
State,Arizona,1993,"Rate per 1,000",7.6
State,Arizona,1991,Number,584
State,Arizona,1992,Number,577
State,Arizona,1991,"Rate per 1,000",8.6
State,Arizona,1990,"Rate per 1,000",8.8
State,Arizona,1990,Number,610
State,Arkansas,1990,Number,336
State,Arkansas,1990,"Rate per 1,000",9.2
State,Arkansas,1991,"Rate per 1,000",10.2
State,Arkansas,1992,Number,360
State,Arkansas,1991,Number,363
State,Arkansas,1993,"Rate per 1,000",10
State,Arkansas,1992,"Rate per 1,000",10.3
State,Arkansas,1993,Number,342
State,Arkansas,1994,Number,320
State,Arkansas,1995,"Rate per 1,000",8.8
State,Arkansas,1994,"Rate per 1,000",9.2
State,Arkansas,1996,Number,337
State,Arkansas,1995,Number,309
State,Arkansas,1996,"Rate per 1,000",9.3
State,Arkansas,1997,"Rate per 1,000",8.7
State,Arkansas,1997,Number,316
State,Arkansas,1998,Number,329
State,Arkansas,1999,"Rate per 1,000",8
State,Arkansas,1998,"Rate per 1,000",8.9
State,Arkansas,1999,Number,292
State,Arkansas,2000,Number,316
State,Arkansas,2000,"Rate per 1,000",8.4
State,Arkansas,2001,"Rate per 1,000",8.3
State,Arkansas,2002,Number,312
State,Arkansas,2001,Number,309
State,Arkansas,2002,"Rate per 1,000",8.3
State,Arkansas,2003,"Rate per 1,000",8.7
State,Arkansas,2003,Number,327
State,Arkansas,2004,Number,319
State,Arkansas,2005,"Rate per 1,000",7.9
State,Arkansas,2005,Number,309
State,Arkansas,2004,"Rate per 1,000",8.3
State,Arkansas,2006,Number,350
State,Arkansas,2006,"Rate per 1,000",8.5
State,Arkansas,2007,"Rate per 1,000",7.7
State,Arkansas,2008,Number,300
State,Arkansas,2013,"Rate per 1,000",7.6
State,Arkansas,2007,Number,317
State,Arkansas,2008,"Rate per 1,000",7.4
State,Arkansas,2018,Number,279
State,Arkansas,2013,Number,288
State,Arkansas,2009,"Rate per 1,000",7.7
State,Arkansas,2018,"Rate per 1,000",7.5
State,Arkansas,2009,Number,307
State,Arkansas,2010,Number,282
State,Arkansas,2015,"Rate per 1,000",7.5
State,Arkansas,2010,"Rate per 1,000",7.3
